SYMBOL,K,K_used,Z,P,Dir,FDR
NDUFB5,3,3,-10.929538729951743,8.3270622914656e-28,down,6.845349297537506e-24
PPP1R2,3,3,-10.924730880023573,8.78002859941962e-28,down,6.845349297537506e-24
FAM162A,3,3,-10.610852279685998,2.653177689565769e-26,down,1.379033323779968e-22
CDC123,3,3,-10.157907899970537,3.055626708351185e-24,down,9.515836848150213e-21
OCIAD1,3,3,-10.156947413255637,3.085869908739844e-24,down,9.515836848150213e-21
DYNC2LI1,4,4,-10.140250870939695,3.661580266074602e-24,down,9.515836848150213e-21
UBLCP1,5,5,-10.112651577757719,4.8552104513768536e-24,down,1.0815328081188467e-20
TTC19,3,3,-10.080310698870536,6.751230198596042e-24,down,1.315899156083851e-20
DLD,3,3,-9.976695592234496,1.9278015728070866e-23,down,3.340023324975656e-20
C5ORF22,4,4,-9.956128243469788,2.3711783040558155e-23,down,3.697378329514233e-20
GYPC,3,3,9.915479263645686,3.565411539129845e-23,up,5.0541329208774244e-20
OPA1,3,3,-9.871898259656692,5.511162547135589e-23,down,7.161296466457104e-20
EXOC6,2,2,-9.826431308059322,8.663448117054559e-23,down,9.88192584038364e-20
GLMN,4,4,-9.817179304449951,9.496350676104751e-23,down,9.88192584038364e-20
SNX14,2,2,-9.812722065751364,9.925431659594302e-23,down,9.88192584038364e-20
NDUFA9,3,3,-9.806570851211161,1.0549265245939305e-22,down,9.88192584038364e-20
MDGA1,4,4,9.804446525499996,1.0773599646413255e-22,up,9.88192584038364e-20
TSNAX,3,3,-9.78158705685435,1.3507563228472417e-22,down,1.1701301856753913e-19
LRRC49,2,2,-9.704516639297607,2.884401931977258e-22,down,2.255129950672208e-19
GSTA4,4,4,-9.704231060085055,2.8924901567013513e-22,down,2.255129950672208e-19
SKP1,4,4,-9.649053754623914,4.961138259154054e-22,down,3.683763279761389e-19
GPCPD1,3,3,-9.643448465142718,5.239753471037884e-22,down,3.71379435790426e-19
TTC28,3,3,9.636029057584393,5.632478243887667e-22,up,3.798557849916301e-19
RFX1,3,3,9.632197452745332,5.846558609503702e-22,up,3.798557849916301e-19
TXNDC9,3,3,-9.614508779787117,6.943999832265256e-22,down,4.331111575380486e-19
TM2D2,3,3,-9.587498432017778,9.024649935582463e-22,down,5.412360247905283e-19
CREBBP,3,3,9.569825980086343,1.0708576455127751e-21,up,6.103294099019144e-19
LRP4,4,4,9.567430553351896,1.0959548180115183e-21,up,6.103294099019144e-19
MRPS30,2,2,-9.561625997808985,1.1592092438994913e-21,down,6.209986890193105e-19
CHML,4,4,-9.558499382747916,1.194764360327026e-21,down,6.209986890193105e-19
NME5,2,2,-9.535627002891356,1.4898253335999692e-21,down,7.493821428007845e-19
SEC22A,3,3,-9.513186336467768,1.849101321554868e-21,down,9.01032403343908e-19
CERS1,4,4,9.501695804979246,2.0649964584854467e-21,up,9.757421144595021e-19
BTBD10,2,2,-9.495060771659828,2.200829688928259e-21,down,9.965574820635197e-19
ORC5,2,2,-9.493368311679255,2.2368698693146403e-21,down,9.965574820635197e-19
MTCH2,4,4,-9.460585636630922,3.0622327205744583e-21,down,1.3263720781088204e-18
RAB11A,3,3,-9.453656622389044,3.2719625211164253e-21,down,1.3789111241018493e-18
EHMT1,3,3,9.449662323149212,3.3992552111712766e-21,up,1.3948575396787821e-18
ARL15,2,2,-9.43598962715534,3.873205248081056e-21,down,1.5485869085468693e-18
CD37,3,3,9.426577152431337,4.2368956477881226e-21,up,1.6514456754983567e-18
NIT2,4,4,-9.423998719503993,4.342286455167872e-21,down,1.6514456754983567e-18
ALG14,3,3,-9.404492091140675,5.228209895402814e-21,down,1.9410351642622874e-18
STX12,3,3,-9.3706825592297065,7.206496745284306e-21,down,2.6132768313771673e-18
ZWILCH,3,3,-9.352906530822075,8.527158682063725e-21,down,3.0219087574868104e-18
DENR,2,2,-9.33855945973156,9.765365152555345e-21,down,3.3838075294176777e-18
FAM104A,2,2,-9.327962708055418,1.0792537214297644e-20,down,3.658435495272677e-18
CEBPZOS,2,2,-9.292867561471935,1.5018644479079882e-20,down,4.978897185842316e-18
TMX3,3,3,-9.29070784761063,1.5326560951736752e-20,down,4.978897185842316e-18
NDUFA5,4,4,-9.287394255570097,1.581116526458368e-20,down,5.031499999401088e-18
MTX3,2,2,-9.28272155810241,1.6520380797279915e-20,down,5.152045955439715e-18
BCAP29,2,2,-9.2760409820036,1.758929613182419e-20,down,5.333737065855975e-18
TCEAL7,4,4,-9.274848854463318,1.778710494609829e-20,down,5.333737065855975e-18
PACRGL,3,3,-9.269313126236089,1.873484880295447e-20,down,5.427207941246266e-18
DNAJC19,2,2,-9.267105678330658,1.9126549151210942e-20,down,5.427207941246266e-18
CLIP2,3,3,9.267014079087053,1.914297676961102e-20,up,5.427207941246266e-18
ZNF449,4,4,-9.262759790538421,1.992151816630726e-20,down,5.42801175435335e-18
AMN1,2,2,-9.261386507542285,2.017945300099565e-20,down,5.42801175435335e-18
PLEKHH3,3,3,9.25991572569354,2.0459362915452774e-20,up,5.42801175435335e-18
RGL2,4,4,9.25950488728198,2.053823468908149e-20,up,5.42801175435335e-18
LRRC8B,3,3,-9.251364516336459,2.2164480313127004e-20,down,5.7601790253764896e-18
DHX36,4,4,-9.231223460758972,2.6755809181252524e-20,down,6.832796607887983e-18
CLN3,3,3,9.229585267516518,2.7168177367347845e-20,up,6.832796607887983e-18
VRK1,2,2,-9.224547084978706,2.847617783011814e-20,down,6.978538112968524e-18
TIPRL,4,4,-9.223921959089909,2.8642752467773074e-20,down,6.978538112968524e-18
PSMA6,3,3,-9.220576983369616,2.955057740937775e-20,down,7.009829588465912e-18
YBX1,3,3,9.220143509309317,2.967028492520684e-20,up,7.009829588465912e-18
PRKAA2,2,2,-9.215991147951684,3.084156260261359e-20,down,7.077134453120588e-18
KNTC1,2,2,-9.21591697092004,3.08628963517091e-20,down,7.077134453120588e-18
SCOC,3,3,-9.209962419126938,3.262391295670057e-20,down,7.304839815019102e-18
GPS2,3,3,9.209408017743163,3.2792842111930814e-20,up,7.304839815019102e-18
PACSIN2,3,3,9.166792805851417,4.873011994739378e-20,up,1.0548581774938363e-17
TRAPPC6B,3,3,-9.166531907882032,4.884815959719917e-20,down,1.0548581774938363e-17
PSMD14,3,3,-9.165307039667955,4.9406123431751175e-20,down,1.0548581774938363e-17
CCNH,2,2,-9.163887593848202,5.006060741008394e-20,down,1.0548581774938363e-17
RNASEH2B,2,2,-9.156942713374804,5.338839871904742e-20,down,1.1099804016348085e-17
KANK2,4,4,9.149137180008905,5.739007445505523e-20,up,1.1662203133354971e-17
TRAPPC13,4,4,-9.148762812177033,5.75892798863806e-20,down,1.1662203133354971e-17
LRRTM4,2,2,-9.146693419149768,5.87028214966073e-20,down,1.1735296097392276e-17
GCNT4,2,2,-9.138582111543586,6.327647870957801e-20,down,1.2370784341293444e-17
